symbol,datetime,open,high,low,close,volume
AAPL,2026-06-22 15:59:00,296.95001,297.29001,296.79001,296.79001,1046896
AAPL,2026-06-22 15:58:00,297.059998,297.14001,296.82001,296.94,473949
AAPL,2026-06-22 15:57:00,297.049988,297.21,297.019989,297.059998,303884
AAPL,2026-06-22 15:56:00,297.255,297.26999,297.019989,297.040009,255354
AAPL,2026-06-22 15:55:00,297.57501,297.67999,297.2,297.26001,280455
AAPL,2026-06-22 15:54:00,297.22,297.61,296.91,297.55499,276277
AAPL,2026-06-22 15:53:00,297.20001,297.24,296.91,297.20999,188126
AAPL,2026-06-22 15:52:00,297.32001,297.38,297.13,297.20001,161611
AAPL,2026-06-22 15:51:00,297.29501,297.44,297.21,297.32999,162998
AAPL,2026-06-22 15:50:00,297.10999,297.34,296.98,297.29001,213562
AAPL,2026-06-22 15:49:00,297.159,297.28,296.97,297.084991,145268
AAPL,2026-06-22 15:48:00,297.125,297.16,296.84,297.14999,124603
AAPL,2026-06-22 15:47:00,297.37,297.41,297.13,297.14001,97078
AAPL,2026-06-22 15:46:00,297.51999,297.54001,297.29999,297.37,114055
AAPL,2026-06-22 15:45:00,297.28,297.51999,297.26999,297.51999,138663
AAPL,2026-06-22 15:44:00,297.22,297.325,297.185,297.26999,109155
AAPL,2026-06-22 15:43:00,297.2005,297.31,297.16,297.22,115022
AAPL,2026-06-22 15:42:00,297.049988,297.22989,297.045,297.20001,108698
AAPL,2026-06-22 15:41:00,297.089996,297.20001,296.98999,297.059998,130692
AAPL,2026-06-22 15:40:00,297.16,297.22,297.079987,297.10501,135340
AAPL,2026-06-22 15:39:00,297.070007,297.20499,296.95999,297.16,126936
AAPL,2026-06-22 15:38:00,297.15509,297.21921,296.98499,297.070007,132480
AAPL,2026-06-22 15:37:00,297.30499,297.41989,297.13,297.14999,110807
AAPL,2026-06-22 15:36:00,297.465,297.54999,297.12,297.31,135706
AAPL,2026-06-22 15:35:00,297.67499,297.70001,297.32001,297.465,167752
AAPL,2026-06-22 15:34:00,297.67499,297.76001,297.57,297.69,168280
AAPL,2026-06-22 15:33:00,297.845,297.845,297.44,297.67001,187680
AAPL,2026-06-22 15:32:00,297.63,298.06,297.63,297.845,148164
AAPL,2026-06-22 15:31:00,298.35001,298.41,297.60999,297.64999,172780
AAPL,2026-06-22 15:30:00,299.059998,299.09,298.31,298.33499,166820
MSFT,2026-06-22 15:59:00,367.26999,367.57999,367.17001,367.17999,1011026
MSFT,2026-06-22 15:58:00,367.48499,367.5,367.07,367.255,575702
MSFT,2026-06-22 15:57:00,367.81,368.070007,367.38,367.48499,482659
MSFT,2026-06-22 15:56:00,368.040009,368.20001,367.79999,367.79999,320708
MSFT,2026-06-22 15:55:00,368.47,368.49,367.67999,368.040009,537270
MSFT,2026-06-22 15:54:00,368.54999,368.555,368.019989,368.47501,414446
MSFT,2026-06-22 15:53:00,369.059998,369.070007,368.51999,368.55499,233965
MSFT,2026-06-22 15:52:00,369.065002,369.16,368.85,369.082703,176273
MSFT,2026-06-22 15:51:00,369.049988,369.1763,368.91,369.079987,177869
MSFT,2026-06-22 15:50:00,369.35001,369.35001,368.64999,369.050598,207026
MSFT,2026-06-22 15:49:00,369.26999,369.38,369.22,369.35001,102957
MSFT,2026-06-22 15:48:00,369.41,369.42001,369.17,369.2782,83394
MSFT,2026-06-22 15:47:00,369.3002,369.53,369.22,369.39999,108599
MSFT,2026-06-22 15:46:00,369.035004,369.32999,369.01001,369.315,112279
MSFT,2026-06-22 15:45:00,369.01001,369.242,368.97,369.01001,122980
MSFT,2026-06-22 15:44:00,368.76001,369.10001,368.7,369.019989,102618
MSFT,2026-06-22 15:43:00,369.059998,369.10001,368.64999,368.745,142019
MSFT,2026-06-22 15:42:00,369.97,369.98999,369.059998,369.089996,115059
MSFT,2026-06-22 15:41:00,370.028809,370.20001,369.91,369.94,69038
MSFT,2026-06-22 15:40:00,369.95001,370.20001,369.82001,370.015015,87661
MSFT,2026-06-22 15:39:00,369.83011,369.95999,369.79999,369.95001,71044
MSFT,2026-06-22 15:38:00,369.91501,369.92001,369.64999,369.89001,82588
MSFT,2026-06-22 15:37:00,370.079987,370.099915,369.88,369.89999,53791
MSFT,2026-06-22 15:36:00,369.89499,370.10001,369.82501,370.079987,60631
MSFT,2026-06-22 15:35:00,370.040009,370.084991,369.85999,369.88,52843
MSFT,2026-06-22 15:34:00,370.23001,370.23001,369.95,370.019989,89215
MSFT,2026-06-22 15:33:00,370.26001,370.39001,370.17999,370.20999,59964
MSFT,2026-06-22 15:32:00,370.22501,370.45001,370.14001,370.26999,72946
MSFT,2026-06-22 15:31:00,369.97,370.24,369.92999,370.22501,73653
MSFT,2026-06-22 15:30:00,369.76001,369.95999,369.70001,369.95999,63051
GOOGL,2026-06-22 15:59:00,349.70001,349.77,349.37,349.48999,777301
GOOGL,2026-06-22 15:58:00,349.60999,349.8,349.51,349.69,424904
GOOGL,2026-06-22 15:57:00,349.29001,349.67001,349.27719,349.60989,328619
GOOGL,2026-06-22 15:56:00,349.31,349.35001,349.029999,349.29501,349420
GOOGL,2026-06-22 15:55:00,349.76999,349.98251,349.24,349.32001,405199
GOOGL,2026-06-22 15:54:00,349.72,349.92999,349.54001,349.745,271477
GOOGL,2026-06-22 15:53:00,349.905,349.98001,349.57,349.70999,253913
GOOGL,2026-06-22 15:52:00,349.76501,349.94931,349.64999,349.91,218150
GOOGL,2026-06-22 15:51:00,349.95001,349.95001,349.63,349.76001,189156
GOOGL,2026-06-22 15:50:00,349.20999,350.0,349.01001,349.935,344721
GOOGL,2026-06-22 15:49:00,349.049988,349.32999,348.79001,349.23999,135249
GOOGL,2026-06-22 15:48:00,349.035004,349.070007,348.72,349.049988,123679
GOOGL,2026-06-22 15:47:00,348.88,349.29001,348.62,349.059998,103411
GOOGL,2026-06-22 15:46:00,348.70499,348.92999,348.61499,348.87,114291
GOOGL,2026-06-22 15:45:00,348.73999,348.92001,348.56,348.70999,108911
GOOGL,2026-06-22 15:44:00,348.64499,348.72,348.51999,348.69,93588
GOOGL,2026-06-22 15:43:00,348.73999,348.79,348.5,348.64999,95001
GOOGL,2026-06-22 15:42:00,348.92001,349.17001,348.70999,348.72,85923
GOOGL,2026-06-22 15:41:00,348.67001,348.94,348.59,348.93991,103210
GOOGL,2026-06-22 15:40:00,348.92999,348.98499,348.68,348.70251,97873
GOOGL,2026-06-22 15:39:00,349.0,349.14,348.91019,348.91501,65962
GOOGL,2026-06-22 15:38:00,348.97501,349.21201,348.88,349.01001,76757
GOOGL,2026-06-22 15:37:00,348.89001,349.17999,348.87,348.99991,126504
GOOGL,2026-06-22 15:36:00,349.60001,349.615,348.88,348.88,114938
GOOGL,2026-06-22 15:35:00,349.79001,349.94501,349.59,349.61609,121048
GOOGL,2026-06-22 15:34:00,349.63,349.76999,349.51999,349.755,107485
GOOGL,2026-06-22 15:33:00,349.70001,349.78,349.51999,349.64999,76879
GOOGL,2026-06-22 15:32:00,349.45001,349.755,349.44211,349.67001,91078
GOOGL,2026-06-22 15:31:00,349.6001,349.76001,349.44,349.45001,96305
GOOGL,2026-06-22 15:30:00,349.45999,349.64001,349.29999,349.62,121884
AMZN,2026-06-22 15:59:00,233.11,233.12,232.78999,232.78999,1219750
AMZN,2026-06-22 15:58:00,233.14,233.15,232.98,233.10001,610712
AMZN,2026-06-22 15:57:00,233.52991,233.675,233.10001,233.14,487416
AMZN,2026-06-22 15:56:00,233.69,233.71001,233.5,233.53,393832
AMZN,2026-06-22 15:55:00,234.356,234.39999,233.63,233.69501,467318
AMZN,2026-06-22 15:54:00,233.565,234.37,233.53,234.36,409421
AMZN,2026-06-22 15:53:00,233.595,233.87,233.53999,233.565,325341
AMZN,2026-06-22 15:52:00,233.39999,233.67999,233.35,233.605,274414
AMZN,2026-06-22 15:51:00,233.33,233.48,233.27,233.39999,228432
AMZN,2026-06-22 15:50:00,233.2,233.37,232.82,233.3399,349301
AMZN,2026-06-22 15:49:00,233.25,233.25999,233.08,233.23,174642
AMZN,2026-06-22 15:48:00,233.37,233.42,233.22,233.25999,226196
AMZN,2026-06-22 15:47:00,233.285,233.5,233.27,233.37,164117
AMZN,2026-06-22 15:46:00,233.16991,233.368,233.14999,233.28999,191654
AMZN,2026-06-22 15:45:00,233.41499,233.49001,233.13499,233.155,1164031
AMZN,2026-06-22 15:44:00,233.3694,233.43,233.3,233.39,135234
AMZN,2026-06-22 15:43:00,233.27499,233.41991,233.25999,233.35201,157754
AMZN,2026-06-22 15:42:00,233.27499,233.46001,233.25999,233.28,160651
AMZN,2026-06-22 15:41:00,233.355,233.37,233.201,233.28,165213
AMZN,2026-06-22 15:40:00,233.47,233.5699,233.34,233.341,125295
AMZN,2026-06-22 15:39:00,233.39999,233.49001,233.39,233.48,101183
AMZN,2026-06-22 15:38:00,233.36,233.5,233.28999,233.39999,127126
AMZN,2026-06-22 15:37:00,233.345,233.41991,233.321,233.37,103880
AMZN,2026-06-22 15:36:00,233.315,233.38,233.25999,233.345,101325
AMZN,2026-06-22 15:35:00,233.039993,233.33,233.020004,233.315,161713
AMZN,2026-06-22 15:34:00,233.32001,233.32001,233.0,233.039993,194663
AMZN,2026-06-22 15:33:00,233.55499,233.56,233.28999,233.32001,186833
AMZN,2026-06-22 15:32:00,233.735,233.735,233.53999,233.575,228126
AMZN,2026-06-22 15:31:00,233.80499,233.83,233.6501,233.74001,169914
AMZN,2026-06-22 15:30:00,233.91499,233.965,233.73,233.80499,122226
